#,Title,Author,Database,Year
239,An Urbanistic Design Tool,"Chitchian, D. and Bekkering, H.",ACADIA,2002
240,ArchiWAIS: A Multimedia-Based Architectural Information System for Teaching and Learning Architectural History and Theory,"Choi, Jin Won",ACADIA,1994
241,"Progressive Spheres of Innovation: Efficiency, communication and collaboration","Chok, Kermin",ACADIA,2011
242,Structure at the Velocity of Architecture,"Chok, Kermin; Donofrio, Mark ",ACADIA,2010
243,Re-representation of Urban Imagery: Strategies for Constructing Knowledge,"Christenson, Mike",ACADIA,2007
244,On the Use of Occlusion Maps to Examine Additions to Existing Buildings,"Christenson, Mike",ACADIA,2009
245,Parametric Variation Revealing Architectural Untranslatability,"Christenson, Mike",ACADIA,2011
246,Robofoam,"Christou, Elina; Dierckx; Pastrana, Rodgrigo; Papic, Nikola",ACADIA,2014
247,"Design Systems, Ecology, and Time Angelos Chronis, Martha Tsigkari, Adam Davis, Francis Aish""","Chronis, Angelos ; Tsigkari, Martha ; Davis, Adam ; Aish, Francis",ACADIA,2012
248,The Global Brain: Beyond The Correlationist Paradigm In Architecture,"Chu, Karl ",ACADIA,2010
249,A Sacred Space in Cyberspace,"Chung, Misun ",ACADIA,2000
250,"Clients, architects, houses and computers: Experiment and reflection on new roles and relationships in design","Cimerman, Benjamin",ACADIA,2001
251,The Siren's Call,"Clarke, Cory",ACADIA,2004
252,Synthetic Dissemination,"Clarke, Cory",ACADIA,2006
253,Delivering Facility Documentation using Intranet Technology,"Clayton, M., Johnson, R., Song, Y and Al-Qawasmi, J.",ACADIA,1998
254,"First Drawings, Then Semantics","Clayton, M.J., Kunz, J.C., Fischer, M.A. and Teicholz, P.",ACADIA,1994
255,Data for Reflection: Monitoring the Use of Web-Based Design Aids,"Clayton, M.J., Song, Y., Han, K., Darapureddy, K., Al-Kahaweh, H. and Soh, I.",ACADIA,2001
256,Virtual Construction of Architecture Using 3D CAD and Simulation,"Clayton, M.J., Warden, Robert B., Parker, Th.W.",ACADIA,1999
257,Computing in Civil Engineering 1998,"Clayton, Mark J. ",ACADIA,1998
258,Connecting Digital Tools,"Clayton, Mark J. ",ACADIA,2003
259,"ACADIA 2000: Eternity, Infinity and Virtuality in Architecture","Clayton, Mark J. and Vasquez de Velasco, Guillermo P.",ACADIA,Eds.
260,Enhancing the Sketchbook,"Clayton, Mark J. and Weisenthal, Howard ",ACADIA,1991
261,How I Stopped Worrying and Learned to Love AutoCAD,"Clayton, Mark J.",ACADIA,2005
262,Replacing the 1950ï¿½s Curriculum,"Clayton, Mark J.",ACADIA,2006
263,The McKnelly Megalith: A Method of Organic Modeling Feedback,"Clifford, Brandon",ACADIA,2016
264,By Any Means Necessary: Digitally Fabricating Architecture at Scale,"Coleman, James; Cole, Shannon",ACADIA,2017
265,Synergism and Contingency: Design Collaboration with the Computer,"Coleman, Kim",ACADIA,1994
266,Las Vegas Incorporated:experience +/- commodity = identity,"Colopy, Andrew and Tilder, Lisa ",ACADIA,2003
267,ACADIA 2105: Computational Ecologies: Design in the Anthropocene,"Combs, Lonn and Perry, Chris",ACADIA,eds.
268,Material Intensities,"Comodromos, Demetrios A ; Ellinger, Jefferson",ACADIA,2012
269,The Generation of a Smart Cloud,Cook+Fox Architects,ACADIA,2008
270,Stereopsis in the Design and Presentation of Architectural Works,"Cook, Alan R.",ACADIA,1995
271,Fiber Composite Fabrication: Experimental Methods of Architectural Applications,"Corazza, Marco; Doshi, Viral; Korner, Axel; Tabassun, Mehnaj",ACADIA,2014
272,Responsive Expansion,"Cordero Maisonet, Sixto; Smith, Austin",ACADIA,2013
273,HygroSkin: A prototype project for the development of a constructional and climate responsive architectural system based on the elastic and hygroscopic properties of wood,"Correa, David; David Krieg, Oliver; Menges, Achim; Reichert, Steffen; Rinderspacher, Katja",ACADIA,2013
274,Quï¿½bec City Churches,"Cote, Pierre ",ACADIA,1999
275,Solid Modeling as a Tool for Constructing Solar Envelopes ,"Cotton, John",ACADIA,1995
276,The Role of Metaphor in Understanding Computers in Design,"Coyne, Richard",ACADIA,1992
277,A Breathing Building Skin,"Crawford, Scott ",ACADIA,2010
278,Smart Nodes: A System for Variable Structural Frames with 3D Metal-Printed Nodes,"Crolla, Kristof; Williams, Nicholas",ACADIA,2014
279,Social Spatial Genesis: Activity Centered Space Making,"Crotch, Joanna; Mantho, Robert; Horner, Martyn ",ACADIA,2010
280,MASS REGIMES: Geometrically Actuated Thermal Flows,"Cupkova, Dana; Azel, Nicolas",ACADIA,2014
281,Modulating Thermal Mass Behavior Through Surface Figuration,"Cupkova, Dana; Promoppatum, Patcharapit",ACADIA,2017
282,"Le Cube d'Aprï¿½s, Integrated Cognition for Iterative and generative Designs.","Cutellic, Pierre",ACADIA,2014
283,Thinking Soils: A synthetic biology approach to material-based design computation,"Dade-Robertson, Martyn; Corral, Javier Rodriguez; Mitrana, Helen; Zhang, Meng; Wipat, Anil; Ramirez-Figueroa, Carolina; Hernan, Luis",ACADIA,2016
284,Executable Drawings: The Computation of Digital Architecture,"Dalyrmple, Michael and Gerzso, Michael",ACADIA,1998
285,Engaging Intuitive Visual Thinking in Urban Design Modelling: A Real-Time Hypothesis,"Danahy, John ",ACADIA,1988
286,Computing and Design in the Canadian Schools of Architecture and Landscape Architecture: A Proposed Research Agenda for Integrated CAD & GIS in the 1990's,"Danahy, John and Wright, Robert",ACADIA,1989
287,Space Plan Generator: Rapid Generationn & Evaluation of Floor Plan Design Options to Inform Decision Making,"Das, Subhajit; Day, Colin; Hauck, John; Haymaker, John; Davis, Diana",ACADIA,2016
288,Reducing Semantic Distance in Generative Systems: A Massing Example,"Datta, Sambit and Woodbury, Robert F.  ",ACADIA,1998
289,Teaching Digital Fabrication through Design,"Daubmann, Karl",ACADIA,2004
290,Immersive Modeling Environments,"Dave, Bharat ",ACADIA,2001
291,Virtual Study Abroad and Exchange Studio,"Dave, Bharat and Danahy, John",ACADIA,1998
292,Smart and Nano Materials in Architecture,"Daveiga, Josï¿?and Ferreira, Paulo",ACADIA,2005
293,Collaborative Design in Virtual Space - GreenSpace II: A Shared Environment for Architectural Design Review,"Davidson, James N.  and Campbell,  Dace A. ",ACADIA,1996
294,Just Passing Through: Integration in Computational Environmental Design,"Davis, Adam; Tsigkari, Martha; Iseki, Takehiko; Aish, Francis",ACADIA,2011
295,Evaluating Buildings with Computation and Machine Learning,"Davis, Daniel",ACADIA,2016
296,A Digital Design Environment for Large- Scale Rapid Manufacturing ,"De Kestelier, Xavier; Buswell, Richard ",ACADIA,2009
297,Easy To Use Yet Not Necessarily Useful:  New technology in the architectural schematic design process.,"De la Cruz Laureano, Eliel; Tomitsch, Martin; Maher, Mary Lou",ACADIA,2014
298,Solar Form Finding: Subtractive Solar Envelope and Integrated Solar Collection Computational Method for High-Rise Buildings in Urban Environments,"De Luca, Francesco ",ACADIA,2017
299,Local Code: The Critical Use of Geographic Information Systems in Parametric Urban Design ,"de Monchaux, Nicholas; Patwa, Shivang; Golder, Benjamin; Jensen, Sara; Lung, David ",ACADIA,2010
300,Physically Based Daylight Simulation and Visualization,"De Valpine, John  and  Black, Benjamin",ACADIA,2001
301,Development of Interfaces for CAD Processing in Architecture,"Degelman, Larry O. and Miranda, Valerian",ACADIA,1987
302,Speculations on Tissue Engineering and Architecture,"Del Campo, Matias; Sandra Manninger",ACADIA,2008
303,The Use of Genetic Algorithms in Art,"DeLanda, Manuel",ACADIA,2012
304,"Old Wine in New Wine Skins: Architecture, Representation and Electronic Media ","DeLaura, Louis P. ",ACADIA,1997
305,Mediating Spatial Phenomena through Computational Heuristics ,"Derix, Christian ",ACADIA,2010
306,Growth Based Fabrication Techniques for Bacterial Cellulose: Three-Dimensional Grown Membranes and Scaffolding Design for Biological Polymers,"Derme, Tiziano; Mitterberger, Daniela; Di Tanna, Umberto",ACADIA,2016
307,Robotic Fabrication of Non-Standard Material,"Devadass, Pradeep; Dailami, Farid; Mollica, Zachary; Self, Martin",ACADIA,2016
308,Architecture as Caregiver: Human Body - Information - Cognition,Di Raimo; Antonino ,ACADIA,2010
309,Functionally Graded Aggregate Structures: Digital Additive Manufacturing With Designed Granulates,"Dierichs, Karola ; Menges, Achim",ACADIA,2012
310,Material Computation in Architectural Aggregate Systems,"Dierichs, Karola; Menges, Achim ",ACADIA,2010
311,Aggregate Architecture: Simulation Models for Synthetic Non-convex Granulates,"Dierichs, Karola; Menges, Achim",ACADIA,2013
312,Smart Granular Materials: Prototypes for Hygroscopically Actuated Shape-Changing Particles,"Dierichs, Karola; Wood, Dylan; Correa, David; Menges, Achim",ACADIA,2017
313,Building Information Modeling: Interactive Versioning Experiment,"Diewald, J., Frederick, M.",ACADIA,2006
314,Towards a Multi-Agent Model for Visualizing Simulated User Behavior to Support the Assessment of Design Performance,"Dijkstra, Jan and Timmermans, Harry",ACADIA,1999
315,Eigenforms,"Diles, Justin",ACADIA,2014
316,"Plastic Stereotomy: Toward an Architecture of Laminar Pochï¿?""Diles"," Justin""",ACADIA,2014
317,Intricate Stereotomic Assemblies: Hollow Masonry From Buckled Surfaces,"Diles, Justin",ACADIA,2014
318,Free-form Grid Shell Design Based on Genetic Algorithms,"Dimcic, Milos; Knippers, Jan",ACADIA,2011
319,The Anatomy of a Prototype: Situating the Prototype and Prototyping on Design Conceptual Thinking,"Diniz, Nancy ",ACADIA,2015
320,Towards a Living Architecture,"Diniz, Nancy; Turner, Alasdair",ACADIA,2007
321,"From Paris Texas to the Road Warrior: Computer Aided Landscapes and the Road Movie, AKA, Content, Form, and Film Media within Architectural Education.","Diprose , Peter R. and Hotten, Robert D.",ACADIA,1999
322,The Right Tool at the Right Time - Drawing as an Interface to Knowledge Based Design Aids,"Do, Ellen Yi-Luen ",ACADIA,1996
323,"The Sundance Lab- ""Design Systems of the Future""","Do, Ellen Yi-Luen and Gross, Mark D.",ACADIA,1998
324,Drawing Analogies: Finding Visual References By Sketching,"Do, Ellen Yi-Luen",ACADIA,1995
325,VIRTUreALITY Digital Urban Modelling as a Community Design Form,"Dobson, Adrian and Lancaric, Peter ",ACADIA,2003
326,Architectural Education: Students Creating a City Model,"Dokonal, W., Martens, B. and Plï¿½sch, R. ",ACADIA,2000
327,Using Virtual Reality Aided Design Techniques for Three-dimensional Architectural Sketching,"Donath , Dirk and Regenbrecht, Holger ",ACADIA,1996
328,Augmented Reality Techniques for Design and Revitalisation in Existing Built Environments,"Donath, D., Beetz, J., Grether, K., Petzold, F. and Seichter, H.",ACADIA,2001
329,"Illusion, Frustration and Vision in Computer-Aided Project Planning: A Reflection and Outlook on the Use of Computing in Architecture ","Donath, Dirk and Lï¿½mker, Thorsten Michael",ACADIA,2000
330,Plausibility in the Planning Process - Reason and Confidence in the Computer-Aided Design and Planning of Buildings,"Donath, Dirk, Lï¿½mker, Thorsten M. and Richter, Katharina ",ACADIA,2002
331,Immersive Drafted Virtual Reality a new approach for ideation within virtual reality,"Dorta, T., Perez, E.",ACADIA,2006
332,Hybrid modeling revaluing manual action for 3D modeling,"Dorta, T., Perez, E.",ACADIA,2006
333,The Impact of Virtual Reality on the Design Process,"Dorta, Tomï¿½s and LaLande, Philippe",ACADIA,1998
334,"Comparing Immersion in Collaborative Ideation through Design Conversations, Workload and Experience","Dorta, Tomï¿½s; Kalay, Yehuda; Lesage, Annemarie; Pï¿½rez, Edgar",ACADIA,2011
335,In Search of Synthetic Immortality,"Douglis, Evan ",ACADIA,2010
336,Adaptive Growth of Fibre Composite Structures,"Doumpioti, Christina",ACADIA,2008
337,Embedded Intelligence: Material Responsiveness in Faï¿½ade Systems ,"Doumpioti, Christina; Greenberg, Evan L.; Karatzas, Konstantinos ",ACADIA,2010
338,Responsive and Autonomous Material Interfaces,"Doumpioti,Christina",ACADIA,2011
339,Digital Plaster: A Prototypical Design System,"Dourtme, Stella ; Ernst, Claudia ; Garcia, Manuel Jimenez ; Garcia, Roberto",ACADIA,2012
340,Computational Feminism: Searching for Cyborgs,"Doyle, Shelby; Forehand, Leslie; Senske, Nick ",ACADIA,2017
341,Research & Design in Shifting from Analog to Digital,"Dritsas, Stylianos; Becker, Mirco",ACADIA,2007
342,Adaptive Fritting as Case Exploration for Adaptivity in Architecture,"Drozdowski, Ziggy; Gupta, Shawn ",ACADIA,2009
343,Five Excursions,"Druckrey, Tim",ACADIA,2007
344,The Pheonix Mars Lander,"Duck, Tom; Dickinson, Cameron; Coffin, Matt",ACADIA,2007
345,Navigating towards digital tectonic tools ,"Due Schmidt, Anne Marie",ACADIA,2005
346,Designing in the CAD Studio,"Dvorak, Robert W. ",ACADIA,1988
347,CAD Tools for Systems Theory and Bottom Up Design,"Dvorak, Robert W.",ACADIA,1989
348,Using Robotic Technologies to Integrate External Influences in Design,"dï¿½Estree Sterk, Tristan",ACADIA,2011
349,Introduction: Thoughts for Gen X-Speculating about the Rise of Continuous Measurement in Architecture,"dï¿½Estrï¿½e Sterk, Tristan ",ACADIA,2009
350,Using Actuated Tensegrity Structures to Produce a Responsive Architecture,"dï¿½Estrï¿½e Sterk, Tristan",ACADIA,2003
351,Shape Change in Responsive Architectural Structures: Current Reasons & Challenge,"dï¿½Estrï¿½e Sterk, Tristan",ACADIA,2006
352,ACADIA 09: reForm( ) - Building a Better Tomorrow,"dï¿½Estrï¿½e Sterk, Tristan; Loveridge Russell  and Pancoast, Douglas",ACADIA,eds.
353,ATMOSPHERE: Material for the digital gardener,"Dï¿½az Moreno, Cristina; Efrï¿½n Garcï¿½a Grinda",ACADIA,2008
354,Development of a Knowledge-Rich CAD System for the North American Precast Concrete Industry,"Eastman, C., Lee, G. and Sacks, R.",ACADIA,2003
355,New Methods of Architecture and Building,"Eastman, Charles ",ACADIA,2004
356,Why Are We Here and Where We are Going: The Evolution of CAD,"Eastman, Charles M.",ACADIA,1989
357,Old and New Challenges ACADIA After 25 Years,"Eastman, Chuck",ACADIA,2006
358,Four Algebraic Structures In Design,"Economou, Athanassios ",ACADIA,2001
359,Formeta 3D: Posthuman Participant Historian,"Eisinger, Daniel; Putt, Steven",ACADIA,2016
360,From Surface to Volume: An Approach to Poche` with Composites,"Ekmekjian, Nazareth ",ACADIA,2014
361,Building Skin Intelligence: A parametric and algorithmic tool for daylighting performance design integration,"El Sheikh, Mohamed; Gerber, David",ACADIA,2011
362,A Multisensory Computational Model for Human-Machine Making and Learning,"El-Zanfaly, Dina ",ACADIA,2017
363,Interacting With Alternatives: Alt.Text,"Elkhaldi, Maher; Woodbury, Robert",ACADIA,2014
364,Digital Ornament,"Elys, John",ACADIA,2006
365,A New Design Studio: Intelligent Objects and Personal Agents ,"Engeli, M., Kurmann, D. and Schmitt, G.",ACADIA,1995
366,"Digital Environments for Learning and Collaboration Architecture, Communication, Creativity, Media and Design Process","Engeli, Maia and Mueller Andre",ACADIA,1999
367,Developments in 3D Scanning and Digitizing: New Strategies for an Evolving Design Process,"Entous, Marc",ACADIA,1998
368,Generative Processes in Tower Design: Simultaneous Integration of Tower Subsystems Through Biomimetic Analogies,"Erdine, Elif ",ACADIA,2015
369,Interacting with Thousands: A Parametric-Space Exploration Method in Generative Design,"Erhan, Halil; Wang, Ivy; Shireen, Naghmi",ACADIA,2014
370,Manufacturing Method:  A study of the stereotomic methods of Guarino Guarini,"Ericson, Mark",ACADIA,2013
371,Euclid's Wedge,"Ericson, Mark",ACADIA,2014
372,Emergent Reefs,"Erioli, Alessio ; Zomparelli, Alessandro",ACADIA,2012
373,A Swell Project: Between Parametrics and Fabrication,"Esquivel, Gabriel; Ryan Collier",ACADIA,2011
374,Towards Genetic Posthuman Frontiers in Architecture & Design,"Estevez, Alberto T.",ACADIA,2016
375,Application of Life Information in Architecture: Biodigital Architecture and Genetics ,"Estï¿½vez, Alberto T. ",ACADIA,2010
376,Softbim: An Open Ended Building Information Model in Design Practice,"Fagerstrï¿½m, Gustav ; Hoppermann, Marc ; Almeida, Nuno ; Zangerl, Martin ; Rocchetti, Stefano ; Van Berkel, Ben",ACADIA,2012
377,Alloplastic Architecture: The Design of an Interactive Tensegrity Structure,"Farahi Bouzanjani, Behnaz; Leach, Neil; Huang, Alvin; Fox, Michael",ACADIA,2013
378,Breathing Wall,"Farahi, Behnaz",ACADIA,2014
379,Caress of the Gaze: A Gaze Actuated 3D Printed Body Architecture,"Farahi, Behnaz",ACADIA,2016
380,Design Mediums and Other Phenomena of First Generation CAD Practice,"Fargas, Josep ",ACADIA,1993
381,"Metaphors in Design: An Experiment with a Frame, Two Lines and Two Rectangles","Fargas, Josep and Papazian, Pegor",ACADIA,1992
382,Playing with Design Intent: Integration of Physical and Urban Constraints in CAD,"Faucher, Didier and Nivet, Marie-Laure",ACADIA,1998
383,Airspace Tokyo,"Faulders, Thom",ACADIA,2006
384,"The Management of Internet Use, in UK Architectural Practices","Fedeski, M.  and Sidawi, B.",ACADIA,2002
385,Multi-Machine Fabrication: An Integrative Design Process Utilising an Autonomous UAV and Industrial Robots for the Fabrication of Long-Span Composite Structures,"Felbrich, Benjamin; Fru?h, Nikolas; Prado, Marshall;  Saffarian, Saman; Solly,  James; Vasey, Lauren; Knippers, Jan; Menges, Achim,(2017)</td> <td><A HREF=http://papers.cumincad.org/cgi-bin/works/paper/acadia17_248><B>Multi-Machine Fabrication: An Integrative Design Process Utilising an Autonomous UAV and Industrial Robots for the Fabrication of Long-Span Composite Structures</B></A><br /><br /> ACADIA 2017: DISCIPLINES & DISRUPTION [Proceedings of the 37th Annual Conference of the Association for Computer Aided Design in Architecture",ACADIA,2017
386,An Integral Approach to Structural Optimization and Fabrication,"Feringa, Jelle ; Sï¿½ndergaard, Asbjï¿½rn",ACADIA,2012
387,Notes on the Potential of Simulation for Architectural Conception,"Feringa, Jelle",ACADIA,2008
388,"Implicit Fabrication, Fabrication Beyond Craft: The Potential of Turing Completeness in Construction""","Feringa, Jelle",ACADIA,2012
389,"The Tectonic of the Hybrid Real: Data Manipulation, Oxymoron Materiality, and Human-Machine Creative Collaboration","Ferrarello, Laura",ACADIA,2016
390,The Tower of Babel: Bridging Diverse Languages with Information Technologies,"Fineout, Matthew G.",ACADIA,2005
391,Towards Real Time Interaction Visualization in NED,"Fischer, T., Herr, C.M. and Ceccato, C.",ACADIA,2000
392,Distributed Agents for Morphologic and Behavioral Expression in Cellular Design Systems,"Fischer, Th., Fischer, T. and Ceccato, C.",ACADIA,2002
393,Interactive Shaping of Forces,"Fivet, Corentin; Zastavni, Denis",ACADIA,2014
394,The Computer in the Design Studio. Ideas and Exercises that Go Beyond Automated Drafting,"Flemming, Ulrich and Schmitt, Gerhard",ACADIA,1986
395,Object-Oriented Application Development in CAD: A Graduate Course,"Flemming, Ulrich, Erhan, Halil and Ozkaya, Ipek ",ACADIA,2002
396,Digital Templates: Diagrams of Associations,"Flohr, Julie ",ACADIA,2009
397,Ruled Surfaces for Rationalization and Design in Architecture,"Flï¿½ry, Simon; Pottmann, Helmut ",ACADIA,2010
398,Environmental Feedback and Spatial Conditioning,"Foged, Isak Worre; Poulsen, Esben Skouboe ",ACADIA,2010
399,Double Agent White,"Fornes, Marc",ACADIA,2014
400,Chromatae,"Fornes, Marc",ACADIA,2014
401,Selfridges,"Fornes, Marc; Kusama, Yayoi",ACADIA,2014
402,Pneuma-Technics // Methods for Soft Adaptive Environments,"Fougere, Daniel; Goold, Ryan; Velikov,  Kathy",ACADIA,2015
403,"Physical and Digital Media Strategies For Exploring ï¿½Imaginedï¿?Realities of Space, Skin and Light","Fowler, Thomas and Muller, Brook  ",ACADIA,2002
404,An Interactive Urban Database,"Fox, C. William ",ACADIA,1993
405,Flockwall: A Full-Scale Spatial Environment with Discrete Collaborative Modules,"Fox, Michael ",ACADIA,2009
406,Peristalsis: A Real-World Lesson in Adaptable Space,"Fox, Michael ",ACADIA,2014
407,Conventions of Control: A Catalog of Gestures for Remotely Interacting With Dynamic Architectural Space,"Fox, Michael ; Polancic, Allyn",ACADIA,2012
408,Starting From The Micro: A Pedagogical Approach to Designing Interactive Architecture,"Fox, Michael and Hu, Catherine",ACADIA,2005
409,Fluid Morphologies: Hydroactive Polymers for Responsive Architecture,"Franzke, Luke; Rossi, Dino; Franinovic, Karmen",ACADIA,2016
410,Boundary Representation in Practice,"Fraser, Michael ",ACADIA,1993
411,Flight Patterns,"Freeland, David; Buck Brennan",ACADIA,2014
412,Robotic Bead Rolling,"Friedman, Jared; Hosny, Ahmed; Lee, Amanda",ACADIA,2014
413,Woven Clay,"Friedman, Jared; Kim, Heamin; Mesa, Olga",ACADIA,2014
414,Gizmo & WiiView: Tangible User Interfaces Enabling Architectural Presentations,"Fritz, Randolph; Hsiao, Chih-Pin;  Johnson, Brian ",ACADIA,2009
415,COMPUTER INTEGRATED ARCHITECTURE/ENGINEERING/CONSTRUCTION PROJECT-CENTERED LEARNING ENVIRONMENT,"Fruchter, Renate ",ACADIA,1996
416,An Energy Centric Approach to Architecture: Abstracting the material to co-rationalize design and performance,"Frumar, Jerome",ACADIA,2008
417,Kinetic Tensegrity Grids with 3D Compressed Components,"Frumar, Jerome; Zhou, Yi Yi",ACADIA,2009
418,THE V.C.NET - A DIGITAL STUDY IN ARCHITECTURE,"Fuchs, Wladek  and Martinico, Anthony ",ACADIA,1996
419,A World of Data: An Animated Construction Information System as a Virtual Hypergraphic Environment,"Fukai, Dennis ",ACADIA,1996
420,PCIS Revisited: A Visual Database for Design and Construction,"Fukai, Dennis and  Srinivasan, Ravi",ACADIA,2001
421,housemc - Mass-CraftingNumerical instructions for construction,"Fure, Adam and Daubmann, Karl ",ACADIA,2003
422,Digital Materiallurgy: On the productive force of deep codes and vital matter,"Fure, Adam",ACADIA,2011
423,Coding and Modelling Communication in Architectural Collaborative Design,"Gabriel, Gerard Cesar and Maher, Mary Lou",ACADIA,1999
424,Constructing the User,"Gage, Stephen A. ",ACADIA,2009
425,Reverberating Across the Divide: Bridging virtual and physical contexts in digital design and fabrication,"Gannon, Madeline",ACADIA,2014
426,The Pleated Cape: From the Mass-Standardization of Levittown to Mass Customization Today,"Garber, R., Robertson, N.",ACADIA,2006
427,PUSH: Generating Structural Form with Haptic Feedback ,"Garcia, Renato",ACADIA,1999
428,The Grid Sketcher: An AutoCAD Based Tool for Conceptual Design Processes,"Gardner, Brian M. ",ACADIA,1998
429,Block 37,"Garofalo, D., Morgan, J. and Popma, J.",ACADIA,2003
430,"An Adaptive Architecture for Refugee Urbanism: Sensing, Play, and Immigration Policy","Geiger, Jordan",ACADIA,2013
431,Hyperculture: Earth as Interface,"Geiger, Jordan; San Fratello, Virginia ",ACADIA,2010
432,Form Complexity - Rewind | ï¿½Godï¿½s Eyeï¿?Sukkahville 2013,"Georgiou, Michail; Georgiou, Odysseas; Kwok, Theresa",ACADIA,2014
433,"A Multi-Agent System for Facade Design: A design methodology for Design Exploration, Analysis and Simulated Robotic Fabrication","Gerber, David Jason; Pantazis, Evangelos",ACADIA,2016
434,Synthesizing Design Performance: An Evolutionary Approach to Multidisciplinary Design Search,"Gerber, Dr. David Jason ; Lin, Shih-Hsin",ACADIA,2012
435,Getting Computers to Read the Architectural Semantics of Drawings ,"Gero, John and Jun, Han J.",ACADIA,1995
436,Time Promise Land: Notes on our current geographies ,"Gersten, David ",ACADIA,2010
437,Speculations on a Machine-Understandable Language for Architecture,"Gerzso, J. Michael ",ACADIA,1998
438,Automatic Generation of Layouts of an Utzon Housing System via the Internet,"Gerzso, J. Michael ",ACADIA,2001
439,"On the Limitations of Shape Grammars: Comments on Aaron Fleisherï¿½s Article ï¿½Grammatical Architecture?ï¿?""Gerzso"," J. Michael """,ACADIA,2003
440,New Media in Teaching and Learning History of Building Technology,"Geva, Anat ",ACADIA,2000
441,Adaptive Pneus,"Gharleghi,  Mehran; Sadeghy, Amin",ACADIA,2009
442,Robotic Infiltrations,"Gheorghe, Andrei",ACADIA,2014
443,"BUILDING, SEEING, THINKING: THE USE OF THE COMPUTER IN THE INVESTIGATION OF VISUAL LOGIC","Gianni, Benjamin",ACADIA,1991
444,STUDIO @ CORNELL,"Gibson, Kathleen ",ACADIA,1999
445,Constructing Information: Towards a Feedback Ecology in Digital Design and Fabrication,"Gibson, Michael; Kevin R. Klinger; Joshua Vermillion",ACADIA,2008
446,Computer Applications in Architectural Conservation,"Gilleard, J.D., Myers, J. and Olatidoye, O.A.",ACADIA,1990
447,Architecture and Computing: A medium approach,"Glanville, Ranulph ",ACADIA,1995
448,Multi-Resolution Sky Visualization: Daylight Design and Design Tools,"Glaser, D., Warfield, R., Carrier, K., Lam, A., Yong, Y.,Canny, J.,  Ubbelohde, M. and Do, E.",ACADIA,2002
449,Abstraction versus Case-Based: A Comparative Study of Two Approaches to Support Parametric Design ,"Globa, Anastasia; Donn, Michael; Moloney, Jules",ACADIA,2014
450,A Parametric Strategy for Freeform Glass Structures Using Quadrilateral Planar Facets,"Glymph, J., Shelden, D., Ceccato, C., Mussel, J. and Schober, H.",ACADIA,2002
451,Digital Wallpaper: Tiles of Proliferation and Continuity ,"Gokmen, Sabri; Baerlecken, Daniel",ACADIA,2014
452,"Reconstructions, Remakes and Sequels: Architecture and Motion Pictures","Goldman, Glenn ",ACADIA,1996
453,"Digital Design In Architecture: First Light, Then Motion, and Now Sound","Goldman, Glenn and Hoon, Michael",ACADIA,1994
454,Abstraction and Representation: Computer Graphics and Architectural Design,"Goldman, Glenn and Zdepski, M. Stephen ",ACADIA,1988
455,Image Sampling,"Goldman, Glenn and Zdepski, M. Stephen ",ACADIA,1990
456,Reality and Virtual Reality [Conference Proceedings],"Goldman, Glenn and Zdepski, Michael Stephen",ACADIA,Eds.
457,"Form, Color & Movement","Goldman, Glenn and Zdepski, Stephen",ACADIA,1987
458,The Search,"Goldman, Glenn",ACADIA,2006
459,Freezing the Field: Robotic Extrusion Techniques Using Magnetic Fields,"Goldman, Melissa; Myers, Carolina ",ACADIA,2017
460,Using Evolutionary Methods for Design Case Adaptation,"Gomez de Silva Garza, Andres  and Maher, Mary Lou ",ACADIA,2001
461,Space and Motion: Data-Driven Model of 4D Pedestrian Behavior,"Gonzalez Rojas,Paloma ",ACADIA,2017
462,Reinventing the Design Process. Digital Sketching - Planar or Allplan? ,"Gorczyca, Adam ",ACADIA,2001
463,Aegis Hyposurfaceï¿? The Bordering of University and Practice,"Goulthorpe, M., Burry, M. and Dunlop, G.",ACADIA,2001
464,Hackitecture: Open Source Ecology in Architecture,"Goyal, Akshay",ACADIA,2013
465,"Observation, Analysis, and Computation of Branching Patterns in Natural Systems","Greenberg, Evan",ACADIA,2008
466,URBAN FURNITURE: from gazebo to digi-booth,"Greinacher, Udo ",ACADIA,et al.
467,Man + Water + Fan = Freshman: Natural Process of Evaporative Cooling and the Digital Fabrication of the ASU Outdoor Dining Pavilion,"Griffiths, Jason",ACADIA,2008
468,Repurposed Political Ply,"Griffiths, Jason",ACADIA,2011
469,Digital Haptic ï¿½Learning from K-Zell.,"Griffiths, Jason",ACADIA,2011
470,Harvest Shade Screens:  Programming material for optimal energy building skins,"Grinham, Jonathan; Blabolil, Robert; Haak, Jeremy",ACADIA,2014
471,Computer Visualization as a Tool for the Conceptual Understanding of Architecture ,"Groh, Paul H. ",ACADIA,1997
472,Elements That Follow Your Rules: Constraint Based CAD Layout,"Gross , Mark D. ",ACADIA,1996
473,Grids in Design and CAD,"Gross, Mark D. ",ACADIA,1991
474,"The Fat Pencil, the Cocktail Napkin, and the Slide Library","Gross, Mark D.",ACADIA,1994
475,BIM applications in Design Studio An integrative approach Developing Student Skills with Computer Modeling,"Guidera, Stan G.",ACADIA,2006
476,Innovative Puzzles,"Gutierrez, Maria-Paz",ACADIA,2011
477,Composing the Bits of Surfaces in Architectural Practice,"Gï¿½n, Onur Yï¿½ce ; Wallin, Nicholas J.",ACADIA,2007
478,Toward a Computer Integrated Design Studio,"Haglund, Bruce and Sumption, Brian ",ACADIA,1988
